3730.029	3633.719	3573.617	2617.345	2025.049
155.962	136.594	54.494	55.737	71.171
24.424	13.978	18.193	20.684	59.689
289.488	301.705	238.552	229.357	146.374
1368.583	1560.19	1303.131	444.044	222.985
79.387	76.81	73.34	73.899	74.499
1476.39	452.728	227.799	128.645	448.027
120.752	194.339	399.472	187.545	362.962
295.274	524.765	160.704	81.804	176.44
30.25	28.213	34.164	36.503	27.421
17.266	30.51	11.918	10.475	12.434
21.741	20.451	17.088	18.809	17.054
366.26	357.476	301.817	380.77	192.005
120.881	133.86	28.301	33.485	91.736
2233.731	2084.998	2349.435	829.693	1323.615
360.848	712.933	247.912	426.059	368.236
17.674	15.397	19.401	18.017	6.557
1725.377	1514.167	1216.047	1450.734	477.433
5898.266	4917.757	2952.68	1120.67	1272.109
2.733	2.713	2.967	6.987	5.074
194.188	213.328	61.886	184.611	80.946
120.047	68.393	111.738	116.069	156.436
1235.334	1212.311	586.312	827.159	385.074
280.38	179.9	151.59	197.696	88.854
5.061	5.586	6.392	4.363	5.075
68.731	211.203	194.394	96.546	210.572
541.686	184.526	311.979	139.419	118.374
7.37	10.336	11.905	5.057	5.85
6.672	4.612	4.52	3.998	6.43
1894.821	1987.291	1437.807	536.32	921.391
307.999	281.756	83.795	106.046	190.776
4.227	9.809	7.763	4.075	4.191
154.717	434.946	392.535	305.849	98.388
487.119	163.266	577.061	261.229	201.153
7.137	15.187	15.515	15.735	6.899
1018.414	248.849	547.438	271.021	307.045
999.017	612.817	302.664	257.71	265.089
1565.206	689.273	907.005	827.299	694.127
1499.113	1513.325	1340.649	617.172	1066.461
4209.994	3379.34	2472.927	406.497	200.862
1158.543	590.13	514.864	973.178	1366.547
